title,stars,teks
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah pemakaman yang sangat baik dan terawat suasana yang sangat syahdu mengingatkan kita akan kematian
Wisata Aer Mata Ibu Arosbaya,3,tempatnya bagus dan bersejarah tapi banyak pengemis mohon dirapikan para pengemisnya agar pengunjung tidak risih saat berziarah
Wisata Aer Mata Ibu Arosbaya,1,tempat memang bagus tapi tidak dengan tempat parkir dan banyak pengemis yang suka memaksa penziarah
Wisata Aer Mata Ibu Arosbaya,4,baik
Wisata Aer Mata Ibu Arosbaya,3,tempat kotor kurang terawat
Wisata Aer Mata Ibu Arosbaya,2,
Wisata Aer Mata Ibu Arosbaya,4,tempat cukup bagus tapi banyak ibu yang jadi tukang
Wisata Aer Mata Ibu Arosbaya,1,sebenarnya tempat nya bagusjalan nya agak naik sedikittapi disini banyak orang yang minta secara paksaaawalaupun sudah ditolak pun masih ngejar saja bahkan sampai di gandengkalau kita tidak mau ngasih ada beberapa yang sampai mukul tapi mukul nya tidak gimanatapi tetap saja itu akan tidak ngenakkin pengunjung
Wisata Aer Mata Ibu Arosbaya,4,wisata religi di kawasan pulau madura tempatnya cukup jauh dan terpencil di pedalaman kampung yang masih asri disini terdapat sumber mata air yang jernih dan terkenal bisa diminum langsung dan sangat menyegarkan dan dipercaya dapat menyembuhkan berbagai macam penyakit
Wisata Aer Mata Ibu Arosbaya,5,parkirnya terlalu jauh
Wisata Aer Mata Ibu Arosbaya,5,salah satu wali perempuan di madura
Wisata Aer Mata Ibu Arosbaya,5,kurang tahu juga
Wisata Aer Mata Ibu Arosbaya,5,agama dan keren
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata ibu baru pertama x ziarah ke makam di madura khusus nya makam aer mata ibu ini disini banyak yang menjual air mineral dari sumber sana yang membuat tidak nyaman di tempat ini banyak pengemis agak sedikit maksa juga saran aku kalau kesini jangan sampai buka dompet mending sediakan uang receh atau pecahan buat yang minta
Wisata Aer Mata Ibu Arosbaya,5,kurang nyaman dengan kehadiran peminta minta
Wisata Aer Mata Ibu Arosbaya,5,tempatnya cukup bagus tapi sayang banyak pengemis peminta minta secara paksa jadi bikin peziaroh merasa gerah
Wisata Aer Mata Ibu Arosbaya,4,parkir bus luaspenjual makanan banyak
Wisata Aer Mata Ibu Arosbaya,5,masih terjaga kesederhanaannya
Wisata Aer Mata Ibu Arosbaya,5,susana dan aura sangat mencekam lurapalagi pas suro dtg kesana dimakam yang paling atas lebih pekat lagi auranya aku melihat ada panglima ghoib yang berjaga di malam ibu nyai di makam beliausilahkan dicoba datang wisata kesana lur
Wisata Aer Mata Ibu Arosbaya,5,air nya barokah dapat dibawa pulang
Wisata Aer Mata Ibu Arosbaya,5,makam ibu suri
Wisata Aer Mata Ibu Arosbaya,3,tempat nya cukup bersih tetapi akses jalannya perlu di perbaiki
Wisata Aer Mata Ibu Arosbaya,5,menyesap
Wisata Aer Mata Ibu Arosbaya,5,lokasinya agak naik ada ojek juga untuk yang tidak ingin jalan dari parkir kendaraan tapi sedikit tidak nyaman saat ada yang minta banyak bangrt dan sangat memaksa
Wisata Aer Mata Ibu Arosbaya,5,tempatnya masih alami dan bersih
Wisata Aer Mata Ibu Arosbaya,5,semangat keislaman dan xouture
Wisata Aer Mata Ibu Arosbaya,5,batuan karang alami
Wisata Aer Mata Ibu Arosbaya,4,minta uang terlalu memaksamsak rokok di saku lansung di saut
Wisata Aer Mata Ibu Arosbaya,2,yang minta minta serem tapi kasihn juga kita kasih juga banyak yang bilng di antara pengunjung jd tidak ingin lgmaaf pengelola kurang merhatiin
Wisata Aer Mata Ibu Arosbaya,1,hanya saran saja sebenarnya tempat ini bagus dan syarat sejarah namun yang disayangkan adanya banyak para pengemis yang memintaminta kepada pengunjung terkesan memaksa dan mentarget mohon untuk pihak pengelola setempat pemerintah desa harus lebih memperhatikan halhal ini agar disini juga semakin rame karena jika banyak peziarah yang terkesan di intervensi oleh para pengemis maka hal itu akan berdampak kepada jumlah kunjungan mohon maaf terima kasih
Wisata Aer Mata Ibu Arosbaya,5,makam aermata terletak menit dari pusat kota bangkalan makam aermata ibu di arosbaya mempunyai hubungan yang begitu erat dengan sejarah madura ketika masih dibawah mataram makam aermata ibu adalah makamnya nyai syarifa ambami yang ternyata adalah istrinya cakraningrat untuk sampai ke makam ini dari suramadu kamu tinggal ambil tujuan ke bangkalan dari kota bangkalan sekitar menit menuju timur arah ke arosbaya tepatnya sebelum bukit kapur arosbaya sekomplek dengan makan ini adalah tempat bersamayam kerabatkerabat kraton bangkalan sebelum naik tangga makam ada lapaklapak pedagang yang jualan trasi krupuk dan lainnya sebenarnya di samping komplek dan belakang arah menuju bukit kapur masih terdapat makam yang panjaangpanjang kemungkinan masih ada kaitannya dengan makam aermata dan bercampur dengan makam serta rumah warga sekarang wib
Wisata Aer Mata Ibu Arosbaya,2,tolong dong untuk pihak pengelolapara pengemis ditertibkan aku kemarin hampir jatuh sambil gendong anak gara pengemis yang mepet terus menghalangi jalan
Wisata Aer Mata Ibu Arosbaya,1,banyak orang minta yang maksa
Wisata Aer Mata Ibu Arosbaya,5,sejarah air mata ibu arosbaya adalah sejarah tentang makam ratu ibu syarifah ambami istri dari adipati cakraningrat i yang merupakan raja madura pada abad ke menurut cerita rakyat ratu ibu menangis di pertapaannya karena rindu dengan suaminya yang meninggal air mata ratu ibu kemudian membentuk sebuah mata air yang disebut aermata ebu makam ratu ibu terletak di desa buduran kecamatan arosbaya kabupaten bangkalan di pulau madura makam ini adalah bagian dari kompleks pemakaman bangsawan madura dari wangsa cakraningrat yang dibangun sejak abad ke kompleks pemakaman ini memiliki arsitektur yang khas dengan gerbang berundak ukiran sulur motif bunga dan kaligrafi di sini juga dimakamkan para adipati cakraningrat lainnya seperti cakraningrat ii iv v dan vi makam air mata ibu arosbaya adalah salah satu tempat wisata religi dan sejarah di madura yang menarik banyak pengunjung yang ingin mengenal lebih dekat budaya dan tradisi madura makam ini juga menjadi saksi bisu dari perjuangan dan cinta para raja dan ratu madura
Wisata Aer Mata Ibu Arosbaya,4,sangat bagus
Wisata Aer Mata Ibu Arosbaya,2,untuk para pengunjung harap berhatihati dengan para pengemis disekitar lokasi karena ketika kamu memberi satu kali maka akan ada banyak pengemis yang mengejar kalian saran aku untuk pihak pengelola untuk membersihkan tempat ziarah dari para pengemis yang meresahkan
Wisata Aer Mata Ibu Arosbaya,5,oke
Wisata Aer Mata Ibu Arosbaya,3,tempatnya masuk kampung yang baru belajar mobil tidak disarankan nyupir sendiri hehe nanti kebaret semua itu mobil bayar tiket dan parkir mobil dikelola warga di dalam ada warung yang jual minuman dan oleh khas madura
Wisata Aer Mata Ibu Arosbaya,5,sangat hening di malam hari
Wisata Aer Mata Ibu Arosbaya,4,sailnya extrim
Wisata Aer Mata Ibu Arosbaya,5,tempatnya indah sekali
Wisata Aer Mata Ibu Arosbaya,5,tempat wisata religius yang adem
Wisata Aer Mata Ibu Arosbaya,5,palestina adalah yang terbaik
Wisata Aer Mata Ibu Arosbaya,5,tolong untuk pengemis di pintu masuk di tertibkan banyak yang maksa minta uangselain itu di kawasan jalan menuju makam dan sampai di dalam makam pun para pengemis selalu meminta minta cenderung memaksa tolong pihak terkait bisa menertibkan pengemis itu karena tidak nyaman dan mengganggu peziarah
Wisata Aer Mata Ibu Arosbaya,5,ini tempat makam aermata tidak sadar aku kalau desaku aermata tempat yang indah
Wisata Aer Mata Ibu Arosbaya,5,sangat bagus
Wisata Aer Mata Ibu Arosbaya,5,tempat bersih suasana nyaman tapi sayang terlalu banyak pengemis yang memaksa meminta uang
Wisata Aer Mata Ibu Arosbaya,4,maaf toilet kurang terjaga kebersigannya
Wisata Aer Mata Ibu Arosbaya,5,karena kunjungan sudah malam kurang waktu untuk berkeliling
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,3,tempat ziarah yang merakyat
Wisata Aer Mata Ibu Arosbaya,5,sayang tidak naik
Wisata Aer Mata Ibu Arosbaya,5,tiba disini tengah malam pas sudah sepi pol jadi bisa berdoa dengan khusyuk saat ziarah seni dekoratif pada makam dan ukiran pada makam sangat menakjubkan alangkah baiknya jika pengelola untuk menertibkan para pengemis untuk tidak memaksaa para peziarah disana
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata ibu arosbaya terletak cukup jauh dari kota bangkalan madura jalan mendekati tempat wisata kurang nyaman sempit dan banyak lubang tidak ada tiket masuk wisata religinamun ada jasa parkir kendaraan untuk kendaraan bus cukup susah parkir karena tempat putar balik sangat sempit karena hampir dipenuhi lapak pedagang untuk menuju makam kita harus berjalan kaki menapaki tangga menaik sesampai di sekitar wilayah makam kita harus melepas alas kaki menuju makam hal yang perlu diperhatikan dinas terkait yaitu banyak sekali ibu maupun anak kecil yang meminta sedekah dengan agak memaksa yang bisa mengurangi kenyamanan pengujung setelah selesai dari makam pengunjung bisa berbelanja aneka buah yang disajikan penjual harga buah yang dijual jauh lebih murah dari surabaya rekom kalau beli buah di arosbaya
Wisata Aer Mata Ibu Arosbaya,3,tempatnya asri namun sekarang makin sering diriwuhi para pengemis dadakan jadi buat kondisi sekitar makam jadi kurang menyenangkan
Wisata Aer Mata Ibu Arosbaya,4,wisata religi nan indah penuh budaya yang indah sayang yang minta terlalu banyak pol
Wisata Aer Mata Ibu Arosbaya,5,mengenal sejarah raja di madura
Wisata Aer Mata Ibu Arosbaya,3,biasa saja
Wisata Aer Mata Ibu Arosbaya,5,tempatnya adem makanannya enak khas beda dari yang lain
Wisata Aer Mata Ibu Arosbaya,5,hadeeh banyak pengemis jadi risih
Wisata Aer Mata Ibu Arosbaya,5,tempatnya enak
Wisata Aer Mata Ibu Arosbaya,5,sebuah pertama kesana dan butuh perjuangan naik keatas tapi dijamin hati tenang stlh ksna
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,tempatnya nyaman adhem buat berziarah bisa langsung lihat sumber mata air air mata ibu jika ingin ambil air dari sumber air mata ibu yang asli sebaiknya langsung ketempat sumurnya saja ada petunjuk arah kok disana tapi sayangnya disana masih banyak orang mintayg bergerombol dan saling mendesak minta uang kepada para peziarahsemoga kedepannya lebih ditertibkan lagi oleh pengelola makam
Wisata Aer Mata Ibu Arosbaya,5,asri dan nyaman
Wisata Aer Mata Ibu Arosbaya,2,mohon maaf aku kasih bintang karena yang paling meresahkan adalah orang minta kalau minta seperti orang mau ngerampok ada juga yang mau ambil uang sendiri di tas anak aku ketakutan sampai nangis kejerrrr mohon pemda setempat ditertibkan pengemis meresahkan
Wisata Aer Mata Ibu Arosbaya,5,jalannya rusak
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk sejauh mata memandang pepohonan karena lokasi di atas bukit dan lingkungan hutan belantara menu beragam sedap harga terjangkau cocok untuk dine di atau menginap
Wisata Aer Mata Ibu Arosbaya,4,parkir mobil ribu biaya masuk ribu aksesnya cukup sulit karena jalannya kecil di dalemnya bagus sih buat foto kalau siang panas sekali
Wisata Aer Mata Ibu Arosbaya,5,mengesankan wisata religi tidak lama sih karena lanjut ke baru ampar
Wisata Aer Mata Ibu Arosbaya,4,tempat situs sejarah di tandai dengan beberapa makamdengan kisah sejarah dan artefak peninggalannya berupa makam sumber air dan batu nisan berukir
Wisata Aer Mata Ibu Arosbaya,4,makanya bersih sekali tapi maaf banyak peminta minta jika kamu kesana jika ingin memberi lihatlah situasi kalau banyak pengemisnya jangan dikasih bisa bisa nanti kamu dikejar mereka
Wisata Aer Mata Ibu Arosbaya,4,akses jalan menuju aer mata ibu masih banyak jalan berlobang serta kurangnya lahan parkir yang kurang memadai
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah bisa merasakan airmata ibu yang bisa bikin cahaya secara alami tanpa skincare
Wisata Aer Mata Ibu Arosbaya,3,banyak orang minta
Wisata Aer Mata Ibu Arosbaya,5,sangat berkah
Wisata Aer Mata Ibu Arosbaya,5,sunggguhpengallaman yang tidak akan terlupakan amazing
Wisata Aer Mata Ibu Arosbaya,3,terlalu banyak pengemis nyaga di kasih kasihan di kasih satu akan semua mengerubuti
Wisata Aer Mata Ibu Arosbaya,1,jujur untuk ukiran pada makam sangat memukau namun orangorang yang meminta sedekah sangat brutal merebut uang dan menarik tas hingga putus mohon untuk pengelola memperbaiki hal ini agar tidak menimbulkan trauma pengunjung lagi
Wisata Aer Mata Ibu Arosbaya,5,senang sekali bisa tinggal disini
Wisata Aer Mata Ibu Arosbaya,5,asri adem
Wisata Aer Mata Ibu Arosbaya,5,pas disana hujan fasilitas umum sudah baik
Wisata Aer Mata Ibu Arosbaya,5,berkah
Wisata Aer Mata Ibu Arosbaya,4,tempat wisata religi
Wisata Aer Mata Ibu Arosbaya,5,cincin
Wisata Aer Mata Ibu Arosbaya,5,sangat bgs
Wisata Aer Mata Ibu Arosbaya,1,mencari barokah
Wisata Aer Mata Ibu Arosbaya,5,enak nikmat gurih
Wisata Aer Mata Ibu Arosbaya,5,bersih belajar sejarah sekaligus agama
Wisata Aer Mata Ibu Arosbaya,5,sangat menakjubkan
Wisata Aer Mata Ibu Arosbaya,5,sayang banyak yang minta sedekah yang sedikit memaksa
Wisata Aer Mata Ibu Arosbaya,5,tempt ziarah
Wisata Aer Mata Ibu Arosbaya,1,terlalu memaksakan sedekah dan terlalu banyak pengemis yang memaksa
Wisata Aer Mata Ibu Arosbaya,4,wisata religi yang sangat menyenangkan
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,bagustepatnya tpjalannya sempitmohon diperlebar
Wisata Aer Mata Ibu Arosbaya,4,sepi karena nyampe sana tengah malam
Wisata Aer Mata Ibu Arosbaya,5,insyaallah berkah
Wisata Aer Mata Ibu Arosbaya,5,sejuk
Wisata Aer Mata Ibu Arosbaya,5,sangat bagus tempatnya dan cocok untuk wisata religi
Wisata Aer Mata Ibu Arosbaya,5,cukup baik
Wisata Aer Mata Ibu Arosbaya,5,aku sangat merasa mendapatkan ilmu barilu dari orang pengaja penampungan air mata ibu dan airnya sangat sejuk
Wisata Aer Mata Ibu Arosbaya,5,mendekat ke wali allooh
Wisata Aer Mata Ibu Arosbaya,5,orang yang minta sprti memaksa
Wisata Aer Mata Ibu Arosbaya,4,makamnya tidak terlalu jauh dari kota mungkin sekitar satu setengah jam perjalanan hening khusyu sarat makna sayangnya banyak pengemis bertaburan menempel pada pengunjung dari tempat parkir bis untuk tempat parkir mobil atau kendaraan pengunjung masih kurang luas
Wisata Aer Mata Ibu Arosbaya,5,menyenangkan
Wisata Aer Mata Ibu Arosbaya,5,wisata religi dan sejarah pulau madura
Wisata Aer Mata Ibu Arosbaya,1,kami lagi nyelawat mampir ke makam air mata ebuh
Wisata Aer Mata Ibu Arosbaya,5,sip tenan dan terasa tenang
Wisata Aer Mata Ibu Arosbaya,4,kramat arsitektur indah sayang infrastruktur jalan ketempat tersebut kurang nyaman sempit banyak yang rusak
Wisata Aer Mata Ibu Arosbaya,5,khidmat pada aulia allah swt
Wisata Aer Mata Ibu Arosbaya,5,bisa buat mukhasabah
Wisata Aer Mata Ibu Arosbaya,5,sungguh tempat yang penuh dengan sejarah hanya kami tidak nyaman dengan peminta yang jumlahnya banyak dan ngikut terus bahkan ada yang berani pegang tas untuk pemda tolong ini diperhatikan karena pengunjung jadi ingin cepat keluar padahal belum semua hitam dilihat terimakasih
Wisata Aer Mata Ibu Arosbaya,5,tempat yang bagusdan wajib dikunjungi saat wisata religi
Wisata Aer Mata Ibu Arosbaya,5,tempat makam raja madura suasanya nyaman dan bersih disana juga ada sumber air yang segar dan bersih
Wisata Aer Mata Ibu Arosbaya,4,tempat bersih namun banyak pengemis harus siapin banyak uang receh
Wisata Aer Mata Ibu Arosbaya,5,tempat ziarah dikawasan madura
Wisata Aer Mata Ibu Arosbaya,3,banyak orang minta minta yang terkesan memaksa buat pngunjung kurang nyaman
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk bersih indah tenang hanya aku pengemisnya sedikit memaksa meminta sodaqoh
Wisata Aer Mata Ibu Arosbaya,5,wisata religi makam syarifah ambami
Wisata Aer Mata Ibu Arosbaya,5,kramat sekali
Wisata Aer Mata Ibu Arosbaya,5,banyak yang minta
Wisata Aer Mata Ibu Arosbaya,2,bagus sekali mantap barokallahtapi sayang banyak orang mintamaksa maksa juga kalau mintaseharusnya perangkat desa harus membina biar para pengemis tidak sembarangan memaksa untuk dikasih uang dari para peziarahsekian trim
Wisata Aer Mata Ibu Arosbaya,3,untuk sarana toilet kurang bersih kadang tidak ada airnya
Wisata Aer Mata Ibu Arosbaya,5,tuhan memberkati
Wisata Aer Mata Ibu Arosbaya,5,nyata
Wisata Aer Mata Ibu Arosbaya,5,ramee sihh tapi banyak yang minta minta sampai megang baju jadi takutt
Wisata Aer Mata Ibu Arosbaya,4,banyak pengemis ya
Wisata Aer Mata Ibu Arosbaya,5,semoga yang disemoga kan segera tersemogakan pengalaman pertama waktu
Wisata Aer Mata Ibu Arosbaya,2,struktur bangunan bagus tapi sayang tidak ada perawatan dan sampah di mana
Wisata Aer Mata Ibu Arosbaya,4,ziaroh dengan menaiki tangga makam bersih tempat parkir kurang luas
Wisata Aer Mata Ibu Arosbaya,5,sungguh indah pemandangan nya
Wisata Aer Mata Ibu Arosbaya,5,mengunjungi makam ratu ibu syarifah ambami pas kebetulan aku datangnya bulan mulud jadi sepi ya teman ya sssttt banyak pengemis nya sampai banyaknya
Wisata Aer Mata Ibu Arosbaya,5,objek wisata aer mata ibu
Wisata Aer Mata Ibu Arosbaya,3,lokasi nya enakcm di sana lokasi parkir yang kurang
Wisata Aer Mata Ibu Arosbaya,5,konon disini tempat makam seorang waliyullah perempuan yakni sarifah ambani yang masih merupakan keturunan sunan giri ia bertirakat dengan bertapa dimana air mata tangisannya sampai memenuhi sekililing pertapaannya hingga akhir hayat yamg kemudian saat ini menjadi mata air yang disakralkan hal tersebut ia lakukan sebagai wujud pengorbanan dan cinta kepada suaminya raja cakraningrat yang memintanya untuk bertirakatbertapa dengan memohon agar seluruh keturunannya dapat menjadi raja madura
Wisata Aer Mata Ibu Arosbaya,5,wahhhluar biasa segerbersihnyaman
Wisata Aer Mata Ibu Arosbaya,5,jikalau
Wisata Aer Mata Ibu Arosbaya,5,bengkel ramah
Wisata Aer Mata Ibu Arosbaya,5,berkah
Wisata Aer Mata Ibu Arosbaya,5,mulai tertata
Wisata Aer Mata Ibu Arosbaya,4,wisata religi untuk itibar perjuangan seorang muslimah sayang tempat ini banyak pengemis mrk bukan orang fakir atau miskin tetapi pemalas hanya menengadahkan tangan pendapatannya setara dengan pnsasn golongan ii mk sebaiknya sedekah kamu jangan disalurkan percaya diri mrk gurau kamu beri pengemis yang lain langsung ngeroyok mohon aparat melarang pengemis bikin malu orang madura saja
Wisata Aer Mata Ibu Arosbaya,5,ada masjidnya terlatak diatas bebatuan mudah untuk sholat serta wudhu dan di sebelah bawahnya ada sumur yang diyakini sebagai bekas sumber dari air mata ibu syarifah ambani wallahualam
Wisata Aer Mata Ibu Arosbaya,5,wisata religi ratu ebuh arosbaya makamnya ada di puncak bukit
Wisata Aer Mata Ibu Arosbaya,5,masyaallah tempat bersejarah yang menjadi cerita kamu patut di amalkan terutama sebagai ibu sumber mata airnya yang mnjdi keberkahan tersendiri mengisahkan kamu mnjdi contoh yang baik semoga tetap terjaga kelestariannya
Wisata Aer Mata Ibu Arosbaya,5,dengan berziarah ke makam waliyullah dengan tujuan mengharapkan ridho allah
Wisata Aer Mata Ibu Arosbaya,5,wisata religi
Wisata Aer Mata Ibu Arosbaya,3,sebagai wisata religi dan sejarah untuk pemerintah lebih memperhatikan pengelolaannya
Wisata Aer Mata Ibu Arosbaya,5,penuh makna dan cerita
Wisata Aer Mata Ibu Arosbaya,4,panorama yang indah dan ramah susana nya
Wisata Aer Mata Ibu Arosbaya,5,merekomendasikan
Wisata Aer Mata Ibu Arosbaya,3,tempat wisata religi yang bagus sayangnya terlalu banyak peminta minta apalagi rata yang minta adalah anak anak
Wisata Aer Mata Ibu Arosbaya,5,foto aku di bukit kapur tapi masih area dengan wisata aer mata tempat wisata alam yang masih blm banyak orang tau jd tempatnya masih sepi bagus buat foto juga foto prewedding
Wisata Aer Mata Ibu Arosbaya,3,harap berhatihati bila kesana banyak orang minta yang suka memaksa sampai narik baju
Wisata Aer Mata Ibu Arosbaya,4,secara umum bagus tempatnya minus nya masih banyak orang yang minta di jalan
Wisata Aer Mata Ibu Arosbaya,5,tempat yang banyak energi spiritual
Wisata Aer Mata Ibu Arosbaya,1,religi
Wisata Aer Mata Ibu Arosbaya,5,bersih
Wisata Aer Mata Ibu Arosbaya,5,selalu rame oleh para wisatawan religi dari luar pulau
Wisata Aer Mata Ibu Arosbaya,3,lima
Wisata Aer Mata Ibu Arosbaya,5,cakep
Wisata Aer Mata Ibu Arosbaya,4,sepi pengunjung
Wisata Aer Mata Ibu Arosbaya,5,terlalu banyak
Wisata Aer Mata Ibu Arosbaya,4,penuh sejarah nyaman teringat jasa orangtua yang tidak tergantikan hati para peminta uang jaga brg bawaan tolong ditertibkan
Wisata Aer Mata Ibu Arosbaya,5,rame sayangnya kesana pas malam hari jadi tidak begitu terlihat pemandangannya
Wisata Aer Mata Ibu Arosbaya,5,mantap
Wisata Aer Mata Ibu Arosbaya,1,belum ada kepedulian dari dinas terkait untuk pengaturan pkl yang makan tempat parkir kendaraan semrawut bila ada bis besar berkunjung tempat putar balik bis parkir terhalang tenda tenda payung payung pkl
Wisata Aer Mata Ibu Arosbaya,4,destinasi wisata religi dimadura bisa diakses bus pariwisata
Wisata Aer Mata Ibu Arosbaya,3,saran buat petugas dsana terutama bagi yang ibu jangan suka memaksa pengunjungpengunjung itu ikhlas tanpa di minta
Wisata Aer Mata Ibu Arosbaya,4,sangat berarti untuk meningkatkan taaruf kepada sang pencipta juga saling mendoakan kepada sang ulama sepuh
Wisata Aer Mata Ibu Arosbaya,5,subhanallah
Wisata Aer Mata Ibu Arosbaya,5,wajib kesini
Wisata Aer Mata Ibu Arosbaya,4,untuk tempat belum bisa mendeskripsikan karena kebetulan datang kesana pada malah hari dan tidak terlalu terlihat jelas
Wisata Aer Mata Ibu Arosbaya,3,pengemisnya tidak sopan
Wisata Aer Mata Ibu Arosbaya,5,tempatnya agak sepi jadi bisa enak
Wisata Aer Mata Ibu Arosbaya,3,bagus batu gunung yang dipotong untuk dijadikan batu bangunan sayangnya lokasi kurang terawat
Wisata Aer Mata Ibu Arosbaya,5,ya alhamdulilah tapi banyak orang minta sedekah
Wisata Aer Mata Ibu Arosbaya,5,tidak lupa setiap kali ke makam ratu ibu syarifah ambami selalu disempatkan ketempat sumber nya untuk mendapatkan air nya yang asli dikarnakan air ini tidak diedarkan diluar melainkan peziarah harus turun sendiri tempat sumber nya buka jam
Wisata Aer Mata Ibu Arosbaya,2,suasana nya masih asri aslibener sprti kita masuk dalam zamannya sarifah ambanitp kekhusukan agak terganggu oleh ibu yang minta sedekahnya agak memaksa kpd pe ziarah ini mestinya di sikapi oleh pengelola makamjgn sampai peziarah nanti enggan ke tempatnya langsung dan memilih kirim fatihah saja dari mkm saikhona kholilmohon perhatian nya kpd pengelola atau pejabat yang berwenang salam al amin
Wisata Aer Mata Ibu Arosbaya,5,pesarean yang religius tapi disayangkan kenapa untuk menuju tempat sumber nya kok dihalang halangi oleh ibu kebersihan dibilang tutup padahal tempat sumber nya buka jam akan tetapi aku tetap turun kebawah untuk mendapatkan air sumber nya yang asli karena yang dijual dimakam pesarean itu air sumur kampung yang dikemas botol bekas dan dikasih lebel sangat disayangkan tidak ada kejelasan dari penunggu makam kenapa diperbolehkan
Wisata Aer Mata Ibu Arosbaya,3,tempatnya sejuk daripada ditempat lain tapi sayang banyak pengemis sekitar makam jadi risih apalagi minta nya maksa dikejar
Wisata Aer Mata Ibu Arosbaya,5,makamnya bersih tetapi agak risih dengan pengemisny yang terlalu memaksa
Wisata Aer Mata Ibu Arosbaya,4,sudah lumayan bagus mhn para ojolnya ditertibkan
Wisata Aer Mata Ibu Arosbaya,5,terlalu banyak
Wisata Aer Mata Ibu Arosbaya,5,wisata religi mengenal sejarah
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah bagus
Wisata Aer Mata Ibu Arosbaya,5,tempat bersejarah yang luar biasa
Wisata Aer Mata Ibu Arosbaya,5,tempatnya bagus
Wisata Aer Mata Ibu Arosbaya,5,luaaaar biasa
Wisata Aer Mata Ibu Arosbaya,5,bibarokatil
Wisata Aer Mata Ibu Arosbaya,4,ziarah saat libur lebaran suasana sejuk
Wisata Aer Mata Ibu Arosbaya,5,tempat situssejarah kerajaan di kabupaten bangkalan madura tepatnya di kecamatan arosbaya
Wisata Aer Mata Ibu Arosbaya,4,suasana tenang bagus penuh sejarah
Wisata Aer Mata Ibu Arosbaya,5,sangat menarik
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah
Wisata Aer Mata Ibu Arosbaya,5,bersejarah
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah bisa ziarah di makam mbah syarifah aer mata ebhu semoga barokah
Wisata Aer Mata Ibu Arosbaya,5,senang
