title,stars,teks
Wisata Aer Mata Ibu Arosbaya,5,makam aermata terletak menit pusat kota bangkalan makam aermata arosbaya hubungan erat sejarah madura dibawah mataram makam aermata makamnya nyai syarifa ambami istrinya cakraningrat makam suramadu tinggal ambil tujuan bangkalan kota bangkalan menit timur arah arosbaya tepatnya bukit kapur arosbaya sekomplek makan bersamayam kerabatkerabat kraton bangkalan tangga makam lapaklapak pedagang jualan trasi krupuk samping komplek arah bukit kapur makam panjaangpanjang kaitannya makam aermata bercampur makam rumah warga wib
Wisata Aer Mata Ibu Arosbaya,2,tolong pengelolapara pengemis ditertibkan kemarin jatuh gendong anak gara pengemis yang mepet menghalangi jalan
Wisata Aer Mata Ibu Arosbaya,1,orang maksa
Wisata Aer Mata Ibu Arosbaya,5,sejarah air mata arosbaya sejarah makam ratu syarifah ambami istri adipati cakraningrat i raja madura abad cerita rakyat ratu menangis pertapaannya rindu suaminya meninggal air mata ratu membentuk mata air aermata ebu makam ratu terletak desa buduran kecamatan arosbaya kabupaten bangkalan pulau madura makam kompleks pemakaman bangsawan madura wangsa cakraningrat dibangun abad kompleks pemakaman memiliki arsitektur khas gerbang berundak ukiran sulur motif bunga kaligrafi dimakamkan adipati cakraningrat cakraningrat ii iv v vi makam air mata arosbaya salah wisata religi sejarah madura menarik pengunjung mengenal budaya tradisi madura makam saksi bisu perjuangan cinta raja ratu madura
Wisata Aer Mata Ibu Arosbaya,4,bagus
Wisata Aer Mata Ibu Arosbaya,2,pengunjung harap berhatihati pengemis disekitar lokasi kali pengemis mengejar saran pengelola membersihkan ziarah pengemis meresahkan
Wisata Aer Mata Ibu Arosbaya,5,oke
Wisata Aer Mata Ibu Arosbaya,3,tempatnya masuk kampung yang belajar mobil disarankan nyupir hehe nanti kebaret mobil bayar tiket parkir mobil dikelola warga warung yang jual minuman khas madura
Wisata Aer Mata Ibu Arosbaya,5,hening malam
Wisata Aer Mata Ibu Arosbaya,4,sailnya extrim
Wisata Aer Mata Ibu Arosbaya,5,tempatnya indah sekali
Wisata Aer Mata Ibu Arosbaya,5,wisata religius yang adem
Wisata Aer Mata Ibu Arosbaya,5,palestina terbaik
Wisata Aer Mata Ibu Arosbaya,5,tolong pengemis pintu masuk tertibkan maksa uangselain kawasan jalan makam makam pengemis cenderung memaksa tolong terkait menertibkan pengemis nyaman mengganggu peziarah
Wisata Aer Mata Ibu Arosbaya,5,makam aermata tidak sadar desaku aermata indah
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,bersih suasana nyaman tapi sayang pengemis yang memaksa uang
Wisata Aer Mata Ibu Arosbaya,4,maaf toilet terjaga kebersigannya
Wisata Aer Mata Ibu Arosbaya,5,kunjungan malam berkeliling
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,3,ziarah yang merakyat
Wisata Aer Mata Ibu Arosbaya,5,sayang tidak
Wisata Aer Mata Ibu Arosbaya,5,malam pas sudah sepi pol berdoa khusyuk ziarah seni dekoratif makam ukiran makam menakjubkan alangkah baiknya pengelola menertibkan pengemis memaksaa peziarah disana
Wisata Aer Mata Ibu Arosbaya,4,wisata religi aer mata arosbaya terletak kota bangkalan madura jalan mendekati wisata nyaman sempit lubang tiket masuk wisata religinamun jasa parkir kendaraan kendaraan bus susah parkir putar sempit dipenuhi lapak pedagang makam berjalan kaki menapaki tangga menaik di wilayah makam melepas alas kaki makam diperhatikan dinas terkait anak sedekah memaksa mengurangi kenyamanan pengujung selesai makam pengunjung berbelanja aneka buah yang disajikan penjual harga buah yang dijual murah surabaya rekom kalau beli buah arosbaya
Wisata Aer Mata Ibu Arosbaya,3,tempatnya asri diriwuhi pengemis dadakan kondisi makam menyenangkan
Wisata Aer Mata Ibu Arosbaya,4,wisata religi nan indah penuh budaya yang indah sayang yang pol
Wisata Aer Mata Ibu Arosbaya,5,mengenal sejarah raja madura
Wisata Aer Mata Ibu Arosbaya,3,
Wisata Aer Mata Ibu Arosbaya,5,tempatnya adem makanannya enak khas beda yang
Wisata Aer Mata Ibu Arosbaya,5,hadeeh pengemis risih
Wisata Aer Mata Ibu Arosbaya,5,tempatnya enak
Wisata Aer Mata Ibu Arosbaya,5,sebuah pertama kesana butuh perjuangan keatas dijamin hati tenang stlh ksna
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,tempatnya nyaman adhem berziarah langsung lihat sumber mata air air mata ambil air sumber air mata yang asli langsung ketempat sumurnya petunjuk arah disana sayangnya disana orang mintayg bergerombol mendesak uang peziarahsemoga kedepannya ditertibkan pengelola makam
Wisata Aer Mata Ibu Arosbaya,5,asri nyaman
Wisata Aer Mata Ibu Arosbaya,2,mohon maaf kasih bintang meresahkan orang seperti orang ngerampok ambil uang tas anak ketakutan sampai nangis kejerrrr mohon pemda ditertibkan pengemis meresahkan
Wisata Aer Mata Ibu Arosbaya,5,jalannya rusak
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk mata memandang pepohonan lokasi bukit lingkungan hutan belantara menu beragam sedap harga terjangkau cocok dine di menginap
Wisata Aer Mata Ibu Arosbaya,4,parkir mobil ribu biaya masuk ribu aksesnya sulit jalannya dalemnya bagus sih foto siang panas sekali
Wisata Aer Mata Ibu Arosbaya,5,mengesankan wisata religi tidak sih ampar
Wisata Aer Mata Ibu Arosbaya,4,situs sejarah tandai makamdengan kisah sejarah artefak peninggalannya makam sumber air batu nisan berukir
Wisata Aer Mata Ibu Arosbaya,4,bersih maaf peminta kesana lihatlah situasi pengemisnya dikasih dikejar
Wisata Aer Mata Ibu Arosbaya,4,akses jalan aer mata jalan berlobang kurangnya lahan parkir yang memadai
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah merasakan airmata bikin cahaya alami skincare
Wisata Aer Mata Ibu Arosbaya,3,orang
Wisata Aer Mata Ibu Arosbaya,5,berkah
Wisata Aer Mata Ibu Arosbaya,5,sunggguhpengallaman yang terlupakan amazing
Wisata Aer Mata Ibu Arosbaya,3,banyak pengemis nyaga kasih kasihan kasih mengerubuti
Wisata Aer Mata Ibu Arosbaya,1,jujur ukiran makam memukau orangorang sedekah brutal merebut uang menarik tas putus mohon pengelola memperbaiki menimbulkan trauma pengunjung
Wisata Aer Mata Ibu Arosbaya,5,senang tinggal
Wisata Aer Mata Ibu Arosbaya,5,asri adem
Wisata Aer Mata Ibu Arosbaya,5,pas disana hujan fasilitas
Wisata Aer Mata Ibu Arosbaya,5,berkah
Wisata Aer Mata Ibu Arosbaya,4,wisata religi
Wisata Aer Mata Ibu Arosbaya,5,cincin
Wisata Aer Mata Ibu Arosbaya,5,bgs
Wisata Aer Mata Ibu Arosbaya,1,mencari barokah
Wisata Aer Mata Ibu Arosbaya,5,enak nikmat gurih
Wisata Aer Mata Ibu Arosbaya,5,bersih belajar sejarah agama
Wisata Aer Mata Ibu Arosbaya,5,menakjubkan
Wisata Aer Mata Ibu Arosbaya,5,sayang sedekah memaksa
Wisata Aer Mata Ibu Arosbaya,5,tempt ziarah
Wisata Aer Mata Ibu Arosbaya,1,memaksakan sedekah pengemis yang memaksa
Wisata Aer Mata Ibu Arosbaya,4,wisata religi yang menyenangkan
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,bagustepatnya tpjalannya sempitmohon diperlebar
Wisata Aer Mata Ibu Arosbaya,4,sepi karena nyampe malam
Wisata Aer Mata Ibu Arosbaya,5,insyaallah berkah
Wisata Aer Mata Ibu Arosbaya,5,sejuk
Wisata Aer Mata Ibu Arosbaya,5,bagus tempatnya cocok wisata religi
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,5,ilmu barilu orang pengaja penampungan air mata airnya sejuk
Wisata Aer Mata Ibu Arosbaya,5,mendekat wali allooh
Wisata Aer Mata Ibu Arosbaya,5,orang sprti memaksa
Wisata Aer Mata Ibu Arosbaya,4,makamnya kota jam perjalanan hening khusyu sarat makna sayangnya pengemis bertaburan menempel pengunjung parkir bis parkir mobil kendaraan pengunjung luas
Wisata Aer Mata Ibu Arosbaya,5,menyenangkan
Wisata Aer Mata Ibu Arosbaya,5,wisata religi sejarah pulau madura
Wisata Aer Mata Ibu Arosbaya,1,nyelawat mampir makam air mata ebuh
Wisata Aer Mata Ibu Arosbaya,5,sip tenan tenang
Wisata Aer Mata Ibu Arosbaya,4,kramat arsitektur indah sayang infrastruktur jalan ketempat tersebut nyaman sempit rusak
Wisata Aer Mata Ibu Arosbaya,5,khidmat aulia allah swt
Wisata Aer Mata Ibu Arosbaya,5,mukhasabah
Wisata Aer Mata Ibu Arosbaya,5,sungguh yang penuh dengan sejarah nyaman peminta yang ngikut yang berani pegang tas pemda tolong diperhatikan pengunjung cepat hitam terimakasih
Wisata Aer Mata Ibu Arosbaya,5,yang bagusdan wajib dikunjungi wisata religi
Wisata Aer Mata Ibu Arosbaya,5,makam raja madura suasanya nyaman bersih disana sumber air yang segar bersih
Wisata Aer Mata Ibu Arosbaya,4,bersih pengemis harus siapin uang receh
Wisata Aer Mata Ibu Arosbaya,5,ziarah dikawasan madura
Wisata Aer Mata Ibu Arosbaya,3,orang yang terkesan memaksa buat pngunjung nyaman
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sejuk bersih indah tenang pengemisnya memaksa sodaqoh
Wisata Aer Mata Ibu Arosbaya,5,wisata religi makam syarifah ambami
Wisata Aer Mata Ibu Arosbaya,5,kramat
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,2,bagus mantap barokallahtapi sayang orang mintamaksa maksa kalau mintaseharusnya perangkat desa membina biar pengemis sembarangan memaksa dikasih uang peziarahsekian trim
Wisata Aer Mata Ibu Arosbaya,3,sarana toilet bersih kadang tidak airnya
Wisata Aer Mata Ibu Arosbaya,5,tuhan memberkati
Wisata Aer Mata Ibu Arosbaya,5,nyata
Wisata Aer Mata Ibu Arosbaya,5,ramee sihh banyak yang megang baju takutt
Wisata Aer Mata Ibu Arosbaya,4,pengemis ya
Wisata Aer Mata Ibu Arosbaya,5,semoga yang disemoga tersemogakan pengalaman pertama waktu
Wisata Aer Mata Ibu Arosbaya,2,struktur bangunan bagus sayang perawatan sampah
Wisata Aer Mata Ibu Arosbaya,4,ziaroh dengan tangga makam bersih parkir luas
Wisata Aer Mata Ibu Arosbaya,5,sungguh indah pemandangan nya
Wisata Aer Mata Ibu Arosbaya,5,mengunjungi makam ratu syarifah ambami pas datangnya mulud sepi ya teman ya sssttt pengemis nya sampai banyaknya
Wisata Aer Mata Ibu Arosbaya,5,objek wisata aer mata
Wisata Aer Mata Ibu Arosbaya,3,lokasi nya enakcm lokasi parkir yang
Wisata Aer Mata Ibu Arosbaya,5,konon makam waliyullah perempuan sarifah ambani keturunan sunan giri bertirakat bertapa dimana air mata tangisannya memenuhi sekililing pertapaannya hayat yamg mata air disakralkan lakukan wujud pengorbanan cinta suaminya raja cakraningrat memintanya bertirakatbertapa memohon keturunannya raja madura
Wisata Aer Mata Ibu Arosbaya,5,wahhhluar segerbersihnyaman
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,5,bengkel ramah
Wisata Aer Mata Ibu Arosbaya,5,berkah
Wisata Aer Mata Ibu Arosbaya,5,tertata
Wisata Aer Mata Ibu Arosbaya,4,wisata religi itibar perjuangan muslimah sayang pengemis mrk orang fakir miskin pemalas menengadahkan tangan pendapatannya setara dengan pnsasn golongan ii mk sedekah disalurkan percaya diri mrk gurau pengemis yang langsung ngeroyok mohon aparat melarang pengemis bikin malu orang madura saja
Wisata Aer Mata Ibu Arosbaya,5,masjidnya terlatak diatas bebatuan mudah sholat wudhu sebelah bawahnya sumur diyakini bekas sumber air mata syarifah ambani wallahualam
Wisata Aer Mata Ibu Arosbaya,5,wisata religi ratu ebuh arosbaya makamnya puncak bukit
Wisata Aer Mata Ibu Arosbaya,5,masyaallah bersejarah yang cerita kamu patut amalkan sebagai sumber mata airnya yang mnjdi keberkahan tersendiri mengisahkan kamu mnjdi contoh yang semoga terjaga kelestariannya
Wisata Aer Mata Ibu Arosbaya,5,berziarah makam waliyullah tujuan mengharapkan ridho allah
Wisata Aer Mata Ibu Arosbaya,5,wisata religi
Wisata Aer Mata Ibu Arosbaya,3,wisata religi sejarah pemerintah memperhatikan pengelolaannya
Wisata Aer Mata Ibu Arosbaya,5,penuh makna cerita
Wisata Aer Mata Ibu Arosbaya,4,panorama yang indah ramah susana nya
Wisata Aer Mata Ibu Arosbaya,5,merekomendasikan
Wisata Aer Mata Ibu Arosbaya,3,wisata religi yang bagus sayangnya peminta yang anak anak
Wisata Aer Mata Ibu Arosbaya,5,foto bukit kapur tapi masih area wisata aer mata wisata alam yang masih blm orang tau jd tempatnya masih sepi bagus foto juga foto prewedding
Wisata Aer Mata Ibu Arosbaya,3,harap berhatihati kesana orang yang suka memaksa narik baju
Wisata Aer Mata Ibu Arosbaya,4,bagus tempatnya minus nya orang jalan
Wisata Aer Mata Ibu Arosbaya,5,yang energi spiritual
Wisata Aer Mata Ibu Arosbaya,1,religi
Wisata Aer Mata Ibu Arosbaya,5,bersih
Wisata Aer Mata Ibu Arosbaya,5,rame wisatawan religi pulau
Wisata Aer Mata Ibu Arosbaya,3,
Wisata Aer Mata Ibu Arosbaya,5,cakep
Wisata Aer Mata Ibu Arosbaya,4,sepi pengunjung
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,4,penuh sejarah nyaman jasa orangtua yang tergantikan hati peminta uang jaga brg bawaan tolong ditertibkan
Wisata Aer Mata Ibu Arosbaya,5,rame sayangnya kesana pas malam tidak pemandangannya
Wisata Aer Mata Ibu Arosbaya,5,mantap
Wisata Aer Mata Ibu Arosbaya,1,kepedulian dinas terkait pengaturan pkl makan parkir kendaraan semrawut bis berkunjung putar bis parkir terhalang tenda tenda payung payung pkl
Wisata Aer Mata Ibu Arosbaya,4,destinasi wisata religi dimadura diakses bus pariwisata
Wisata Aer Mata Ibu Arosbaya,3,saran petugas dsana suka memaksa pengunjungpengunjung ikhlas
Wisata Aer Mata Ibu Arosbaya,4,meningkatkan taaruf sang pencipta mendoakan sang ulama sepuh
Wisata Aer Mata Ibu Arosbaya,5,subhanallah
Wisata Aer Mata Ibu Arosbaya,5,wajib kesini
Wisata Aer Mata Ibu Arosbaya,4,mendeskripsikan kesana
Wisata Aer Mata Ibu Arosbaya,3,pengemisnya tidak sopan
Wisata Aer Mata Ibu Arosbaya,5,tempatnya sepi enak
Wisata Aer Mata Ibu Arosbaya,3,bagus batu gunung yang dipotong dijadikan batu bangunan sayangnya lokasi terawat
Wisata Aer Mata Ibu Arosbaya,5,ya alhamdulilah orang sedekah
Wisata Aer Mata Ibu Arosbaya,5,lupa kali makam ratu syarifah ambami disempatkan ketempat sumber nya air nya yang asli dikarnakan air diedarkan diluar peziarah turun sumber nya buka jam
Wisata Aer Mata Ibu Arosbaya,2,suasana nya masih asri aslibener sprti masuk dalam zamannya sarifah ambanitp kekhusukan terganggu ibu yang sedekahnya memaksa kpd pe ziarah mestinya sikapi pengelola makamjgn peziarah nanti enggan tempatnya langsung memilih kirim fatihah mkm saikhona kholilmohon perhatian nya kpd pengelola pejabat yang berwenang salam al amin
Wisata Aer Mata Ibu Arosbaya,5,pesarean religius disayangkan sumber nya dihalang halangi kebersihan dibilang tutup sumber nya buka jam turun kebawah air sumber nya asli yang dijual dimakam pesarean air sumur kampung dikemas botol bekas dikasih lebel disayangkan kejelasan penunggu makam diperbolehkan
Wisata Aer Mata Ibu Arosbaya,3,tempatnya sejuk ditempat sayang pengemis makam risih nya maksa dikejar
Wisata Aer Mata Ibu Arosbaya,5,makamnya bersih risih pengemisny yang memaksa
Wisata Aer Mata Ibu Arosbaya,4,lumayan bagus mhn ojolnya ditertibkan
Wisata Aer Mata Ibu Arosbaya,5,
Wisata Aer Mata Ibu Arosbaya,5,wisata religi mengenal sejarah
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah bagus
Wisata Aer Mata Ibu Arosbaya,5,bersejarah
Wisata Aer Mata Ibu Arosbaya,5,tempatnya bagus
Wisata Aer Mata Ibu Arosbaya,5,luaaaar
Wisata Aer Mata Ibu Arosbaya,5,bibarokatil
Wisata Aer Mata Ibu Arosbaya,4,ziarah libur lebaran suasana sejuk
Wisata Aer Mata Ibu Arosbaya,5,situssejarah kerajaan kabupaten bangkalan madura tepatnya kecamatan arosbaya
Wisata Aer Mata Ibu Arosbaya,4,suasana tenang bagus penuh sejarah
Wisata Aer Mata Ibu Arosbaya,5,menarik
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah
Wisata Aer Mata Ibu Arosbaya,5,bersejarah
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah ziarah makam mbah syarifah aer mata ebhu semoga barokah
Wisata Aer Mata Ibu Arosbaya,5,senang
Wisata Aer Mata Ibu Arosbaya,5,dinsos kabupaten kondisikan yang pengemis pengunjung risih
Wisata Aer Mata Ibu Arosbaya,5,enak ini wisata religius sore direkomendasikan aneka ragam makanan vibesnya dapat bagus
Wisata Aer Mata Ibu Arosbaya,3,ziarah asri sejukhanya terkadang pengemis mengganggu
Wisata Aer Mata Ibu Arosbaya,5,bersejarah umat islam yang inspirasi kaum
Wisata Aer Mata Ibu Arosbaya,5,rapi bersih peminta
Wisata Aer Mata Ibu Arosbaya,4,alami situasi tenang
Wisata Aer Mata Ibu Arosbaya,5,asyik
Wisata Aer Mata Ibu Arosbaya,5,pemandangan yang indah tenang sakral
Wisata Aer Mata Ibu Arosbaya,5,salah wisata religi madura makamnya bagus makam raja imogiri jogja sumber mata air yang nyembuhin penyakit lokasinya dibawah makam makan kekiri turun tangga airnya segar sumurnya langsung dispensernya airnya dingin wkwk yang jual airnya sebotol aqua harganya rp akses kesana mudah jalannya lubang tapi aman dilewati pengemis parkir makam saran kasih uang pengemisnya ngasih dikerubungi sama pengemis yang sampai ngasih pergi parkirnya mobil rp
Wisata Aer Mata Ibu Arosbaya,5,mencari keberkahan
Wisata Aer Mata Ibu Arosbaya,3,pesarean bersih terawat sayangnya minim area parkir bus pengemis meresahkan pemangku desa seminar untuk berwirausaha jalan menghidupkan perekonomian warga daripada
Wisata Aer Mata Ibu Arosbaya,5,makam pangeran cakraningrat i vi ratu syarifah ambami tempatnya
Wisata Aer Mata Ibu Arosbaya,5,bagus sekali
Wisata Aer Mata Ibu Arosbaya,4,tuhan memberkati
Wisata Aer Mata Ibu Arosbaya,5,sejuk tempatnya sohibul maqam hadir keliling rumah
Wisata Aer Mata Ibu Arosbaya,4,bersejarah yang di madura dsana bnyak pengemis yang kadang orang infil kadang yang smpek mnjambak baju peziarah
Wisata Aer Mata Ibu Arosbaya,3,tertata
Wisata Aer Mata Ibu Arosbaya,5,amazingmagicaldi sudut saja estetik benar indah sekali wajib ngulang ini ramah goweser bebas masuk kemarin premannya jd bayar seiklasnya gowes aku berair atau ya liccinnini fotonya arosbaya aku basah video
Wisata Aer Mata Ibu Arosbaya,5,hatihati air diedarkan dipesarean palsu karena air keramatnya asli peziarah ambil ketempat sumber nya terletak dibawah pesarean petunjuk arah nya diikuti pintu samping arah masjid
Wisata Aer Mata Ibu Arosbaya,1,pengemis
Wisata Aer Mata Ibu Arosbaya,4,nyaman
Wisata Aer Mata Ibu Arosbaya,5,semoga keberkahan
Wisata Aer Mata Ibu Arosbaya,5,wisata religi iburamah
Wisata Aer Mata Ibu Arosbaya,4,salah wisata religi pulau madura yang kunjungi karena sarat sejarah kerajaan madura tempatnya bukit yang indah sumber mata air yang konon untuk pengobatan
Wisata Aer Mata Ibu Arosbaya,2,pemberdayaan masyarakat
Wisata Aer Mata Ibu Arosbaya,5,telat hehehe
Wisata Aer Mata Ibu Arosbaya,5,mengedarkan air palsu diarea makam air sumber asli nya dibawah pesarean maaf mengganggu karena tawasul disodorkan dipaksakan membeli air nya
Wisata Aer Mata Ibu Arosbaya,5,sengat
Wisata Aer Mata Ibu Arosbaya,5,alhamdulillahbarokaallahtempat ziaroh yang menyentuh hatisupaya sllu ingatbertambah taqwa pada allah swt
Wisata Aer Mata Ibu Arosbaya,4,wisata wali madura
Wisata Aer Mata Ibu Arosbaya,1,hati tukang paksa
Wisata Aer Mata Ibu Arosbaya,5,kesini bawa uang yang yang sudah terlatih main keroroyok aji mumpung sy orang keturunan madura bangga wisata tapi sdikit senang karena terkait seperti peninjauan wisata madura majunya madura klu tidak pengawasan dari sperti pungli marak dmana
Wisata Aer Mata Ibu Arosbaya,3,
Wisata Aer Mata Ibu Arosbaya,5,memang sepi gimana ya rombongan elf rombongan
Wisata Aer Mata Ibu Arosbaya,5,karomahnya semoga barokahnya amiin
Wisata Aer Mata Ibu Arosbaya,1,pengemis rese
Wisata Aer Mata Ibu Arosbaya,5,woww
Wisata Aer Mata Ibu Arosbaya,3,kena parkir petugas parkir
Wisata Aer Mata Ibu Arosbaya,4,teman teman berziarah mohon uang pengemis teman teman silahkan uang mohon maaf salah sayajuga manusia
Wisata Aer Mata Ibu Arosbaya,1,pengemis menganggu penziarah
Wisata Aer Mata Ibu Arosbaya,5,sejuta kedamaian
Wisata Aer Mata Ibu Arosbaya,5,udaranya sejuk harga snackminuman warung terjangkau menaikan harga sayangnya kuliner saja penyandang kesejahteraan lumayan terganggu sih
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah sumber aer mata asli
Wisata Aer Mata Ibu Arosbaya,5,letak sumber nya dibawah pesarean ratu petunjik arahnya diikuti samping masjid semoga membantu peziarah karena tertipu air disediakan makam pesarean aer sumber asli diedarkan dimakam pesarean
Wisata Aer Mata Ibu Arosbaya,5,ziarah mengenal sejarah
Wisata Aer Mata Ibu Arosbaya,5,brkali tidak bosan tuk prgi ksanacm takut sama pngemisnyaklo mnta mmaksadan berebubatanjdi brdebar jantungq
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah ketempat sumber nya memperoleh air sumber nya asli
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,3,pengemisnya
Wisata Aer Mata Ibu Arosbaya,5,nyaman
Wisata Aer Mata Ibu Arosbaya,5,bahagia masuk makam sarifah ambami
Wisata Aer Mata Ibu Arosbaya,5,tawasul lantaran syarifah ambami
Wisata Aer Mata Ibu Arosbaya,5,muantap
Wisata Aer Mata Ibu Arosbaya,5,bagus
Wisata Aer Mata Ibu Arosbaya,5,rame sekali
Wisata Aer Mata Ibu Arosbaya,5,keren penuh sejarah
